id,createdAt,updatedAt,buslineId,stationId
1,2015/10/9 1:31,2015/10/9 1:31,1,1
2,2015/10/9 1:31,2015/10/9 1:31,1,2
3,2015/10/9 1:31,2015/10/9 1:31,1,3
4,2015/10/9 1:31,2015/10/9 1:31,1,4
5,2015/10/9 1:31,2015/10/9 1:31,1,5
6,2015/10/9 1:31,2015/10/9 1:31,1,6
7,2015/10/9 1:31,2015/10/9 1:31,1,7
8,2015/10/9 1:31,2015/10/9 1:31,1,8
9,2015/10/9 1:31,2015/10/9 1:31,2,9
10,2015/10/9 1:31,2015/10/9 1:31,2,10
11,2015/10/9 1:31,2015/10/9 1:31,2,11
12,2015/10/9 1:31,2015/10/9 1:31,2,12
13,2015/10/9 1:31,2015/10/9 1:31,2,13
14,2015/10/9 1:31,2015/10/9 1:31,2,14
15,2015/10/9 1:31,2015/10/9 1:31,2,15
16,2015/10/9 1:31,2015/10/9 1:31,2,16
17,2015/10/9 1:31,2015/10/9 1:31,2,17
18,2015/10/9 1:31,2015/10/9 1:31,2,18
19,2015/10/9 1:31,2015/10/9 1:31,2,19
20,2015/10/9 1:31,2015/10/9 1:31,2,20
21,2015/10/9 1:31,2015/10/9 1:31,3,21
22,2015/10/9 1:31,2015/10/9 1:31,3,22
23,2015/10/9 1:31,2015/10/9 1:31,3,23
24,2015/10/9 1:31,2015/10/9 1:31,3,24
25,2015/10/9 1:31,2015/10/9 1:31,3,25
26,2015/10/9 1:31,2015/10/9 1:31,3,26
27,2015/10/10 1:31,2015/10/10 1:31,4,1
28,2015/10/11 1:31,2015/10/11 1:31,4,2
29,2015/10/12 1:31,2015/10/12 1:31,4,3
30,2015/10/13 1:31,2015/10/13 1:31,4,4
31,2015/10/14 1:31,2015/10/14 1:31,4,31
32,2015/10/15 1:31,2015/10/15 1:31,4,32
33,2015/10/16 1:31,2015/10/16 1:31,4,33
34,2015/10/17 1:31,2015/10/17 1:31,4,34
35,2015/10/18 1:31,2015/10/18 1:31,4,35
36,2015/10/19 1:31,2015/10/19 1:31,4,36
37,2015/10/20 1:31,2015/10/20 1:31,4,37
38,2015/10/21 1:31,2015/10/21 1:31,4,38
39,2015/10/22 1:31,2015/10/22 1:31,4,39
40,2015/10/23 1:31,2015/10/23 1:31,5,1
41,2015/10/24 1:31,2015/10/24 1:31,5,2
42,2015/10/25 1:31,2015/10/25 1:31,5,3
43,2015/10/26 1:31,2015/10/26 1:31,5,4
44,2015/10/27 1:31,2015/10/27 1:31,5,31
45,2015/10/28 1:31,2015/10/28 1:31,5,32
46,2015/10/29 1:31,2015/10/29 1:31,5,33
47,2015/10/29 1:31,2015/10/29 1:31,5,34
48,2015/10/29 1:31,2015/10/29 1:31,5,35
49,2015/10/29 1:31,2015/10/29 1:31,5,36
50,2015/10/29 1:31,2015/10/29 1:31,5,37
51,2015/10/29 1:31,2015/10/29 1:31,5,38
52,2015/10/29 1:31,2015/10/29 1:31,5,39
53,2015/10/29 1:31,2015/10/29 1:31,6,1
54,2015/10/29 1:31,2015/10/29 1:31,6,2
55,2015/10/29 1:31,2015/10/29 1:31,6,3
56,2015/10/29 1:31,2015/10/29 1:31,6,4
57,2015/10/29 1:31,2015/10/29 1:31,6,5
58,2015/10/29 1:31,2015/10/29 1:31,6,6
59,2015/10/29 1:31,2015/10/29 1:31,6,7
60,2015/10/29 1:31,2015/10/29 1:31,6,8
61,2015/10/29 1:31,2015/10/29 1:31,7,16
62,2015/10/29 1:31,2015/10/29 1:31,7,17
63,2015/10/29 1:31,2015/10/29 1:31,7,18
64,2015/10/29 1:31,2015/10/29 1:31,7,19
65,2015/10/29 1:31,2015/10/29 1:31,7,20
66,2015/10/29 1:31,2015/10/29 1:31,7,1
67,2015/10/29 1:31,2015/10/29 1:31,7,2
68,2015/10/29 1:31,2015/10/29 1:31,7,3
69,2015/10/29 1:31,2015/10/29 1:31,7,4
70,2015/10/29 1:31,2015/10/29 1:31,8,1
71,2015/10/29 1:31,2015/10/29 1:31,8,2
72,2015/10/29 1:31,2015/10/29 1:31,8,3
73,2015/10/29 1:31,2015/10/29 1:31,8,4
74,2015/10/29 1:31,2015/10/29 1:31,8,40
75,2015/10/29 1:31,2015/10/29 1:31,8,41
76,2015/10/29 1:31,2015/10/29 1:31,8,42
77,2015/10/29 1:31,2015/10/29 1:31,9,15
78,2015/10/29 1:31,2015/10/29 1:31,9,16
79,2015/10/29 1:31,2015/10/29 1:31,9,17
80,2015/10/29 1:31,2015/10/29 1:31,9,18
81,2015/10/29 1:31,2015/10/29 1:31,9,19
82,2015/10/29 1:31,2015/10/29 1:31,9,20
83,2015/10/29 1:31,2015/10/29 1:31,9,21
84,2015/10/29 1:31,2015/10/29 1:31,9,22
85,2015/10/29 1:31,2015/10/29 1:31,9,24
86,2015/10/29 1:31,2015/10/29 1:31,9,25
87,2015/10/29 1:31,2015/10/29 1:31,9,26
88,2015/10/29 1:31,2015/10/29 1:31,10,1
89,2015/10/29 1:31,2015/10/29 1:31,10,2
90,2015/10/29 1:31,2015/10/29 1:31,10,3
91,2015/10/29 1:31,2015/10/29 1:31,10,4
92,2015/10/29 1:31,2015/10/29 1:31,10,43
93,2015/10/29 1:31,2015/10/29 1:31,11,1
94,2015/10/29 1:31,2015/10/29 1:31,11,2
95,2015/10/29 1:31,2015/10/29 1:31,11,3
96,2015/10/29 1:31,2015/10/29 1:31,11,4
97,2015/10/29 1:31,2015/10/29 1:31,11,44
98,2015/10/29 1:31,2015/10/29 1:31,11,45
99,2015/10/29 1:31,2015/10/29 1:31,11,46
100,2015/10/29 1:31,2015/10/29 1:31,11,47
101,2015/10/29 1:31,2015/10/29 1:31,11,48
102,2015/10/29 1:31,2015/10/29 1:31,12,49
103,2015/10/29 1:31,2015/10/29 1:31,12,50
104,2015/10/29 1:31,2015/10/29 1:31,12,1
105,2015/10/29 1:31,2015/10/29 1:31,12,2
106,2015/10/29 1:31,2015/10/29 1:31,12,3
107,2015/10/29 1:31,2015/10/29 1:31,12,4
108,2015/10/29 1:31,2015/10/29 1:31,13,51
109,2015/10/29 1:31,2015/10/29 1:31,13,52
110,2015/10/29 1:31,2015/10/29 1:31,13,53
111,2015/10/29 1:31,2015/10/29 1:31,13,1
112,2015/10/29 1:31,2015/10/29 1:31,13,2
113,2015/10/29 1:31,2015/10/29 1:31,13,3
114,2015/10/29 1:31,2015/10/29 1:31,13,4
115,2015/10/29 1:31,2015/10/29 1:31,14,51
116,2015/10/29 1:31,2015/10/29 1:31,14,52
117,2015/10/29 1:31,2015/10/29 1:31,14,53
118,2015/10/29 1:31,2015/10/29 1:31,14,1
