id,createdAt,updatedAt,buslineId,starttimeId
1,2015/10/9 1:31,2015/10/9 1:31,1,19
2,2015/10/9 1:31,2015/10/9 1:31,1,25
3,2015/10/9 1:31,2015/10/9 1:31,1,30
4,2015/10/9 1:31,2015/10/9 1:31,1,34
5,2015/10/9 1:31,2015/10/9 1:31,2,19
6,2015/10/9 1:31,2015/10/9 1:31,2,15
7,2015/10/9 1:31,2015/10/9 1:31,2,21
8,2015/10/9 1:31,2015/10/9 1:31,2,30
9,2015/10/9 1:31,2015/10/9 1:31,3,19
10,2015/10/9 1:31,2015/10/9 1:31,3,15
11,2015/10/9 1:31,2015/10/9 1:31,3,21
12,2015/10/9 1:31,2015/10/9 1:31,3,30
13,2015/10/9 1:31,2015/10/9 1:31,3,35
14,2015/10/9 1:31,2015/10/9 1:31,4,15
15,2015/10/9 1:31,2015/10/9 1:31,4,19
16,2015/10/9 1:31,2015/10/9 1:31,4,21
17,2015/10/9 1:31,2015/10/9 1:31,4,30
18,2015/10/9 1:31,2015/10/9 1:31,4,35
19,2015/10/9 1:31,2015/10/9 1:31,5,15
20,2015/10/9 1:31,2015/10/9 1:31,5,19
21,2015/10/9 1:31,2015/10/9 1:31,5,21
22,2015/10/9 1:31,2015/10/9 1:31,5,30
23,2015/10/9 1:31,2015/10/9 1:31,6,19
24,2015/10/9 1:31,2015/10/9 1:31,6,21
25,2015/10/9 1:31,2015/10/9 1:31,6,30
26,2015/10/9 1:31,2015/10/9 1:31,6,35
27,2015/10/9 1:31,2015/10/9 1:31,7,15
28,2015/10/9 1:31,2015/10/9 1:31,7,19
29,2015/10/9 1:31,2015/10/9 1:31,7,21
30,2015/10/9 1:31,2015/10/9 1:31,7,30
31,2015/10/10 1:31,2015/10/10 1:31,8,19
32,2015/10/9 1:31,2015/10/9 1:31,9,15
33,2015/10/9 1:31,2015/10/9 1:31,9,21
34,2015/10/9 1:31,2015/10/9 1:31,9,30
35,2015/10/9 1:31,2015/10/9 1:31,9,35
36,2015/10/9 1:31,2015/10/9 1:31,10,15
37,2015/10/9 1:31,2015/10/9 1:31,10,21
38,2015/10/9 1:31,2015/10/9 1:31,10,30
39,2015/10/9 1:31,2015/10/9 1:31,11,15
40,2015/10/9 1:31,2015/10/9 1:31,11,21
41,2015/10/9 1:31,2015/10/9 1:31,11,30
42,2015/10/9 1:31,2015/10/9 1:31,12,15
43,2015/10/9 1:31,2015/10/9 1:31,12,21
44,2015/10/9 1:31,2015/10/9 1:31,12,30
45,2015/10/9 1:31,2015/10/9 1:31,13,15
46,2015/10/9 1:31,2015/10/9 1:31,13,21
47,2015/10/9 1:31,2015/10/9 1:31,13,30
48,2015/10/9 1:31,2015/10/9 1:31,14,15
49,2015/10/9 1:31,2015/10/9 1:31,14,21
50,2015/10/9 1:31,2015/10/9 1:31,14,30
