id,name,address,latitude,longitude,createdAt,updatedAt,cityId
1,大学城各高校门口,校门正对面,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
2,大学城北地铁站B出口,B出口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
3,华师西门地铁E出口,E出口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
4,五山地铁B出口,B出口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
5,总站,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
6,文化广场,广场对面,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
7,广医,校门口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
8,理工,校门口,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,5
9,大学城,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
10,华师大,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
11,体育中心,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
12,烈士陵园,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
13,火车站,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,1
14,同乐关,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
15,深大,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
16,世界之窗,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
17,岗夏,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
18,上海宾馆,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
19,高职院,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
20,西丽大学城,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
21,布吉,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
22,深圳大学,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
23,宝安（西乡）,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,3
24,霞山,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,6
25,赤坎,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,6
26,遂溪,NULL,NULL,NULL,2015/10/9 1:31,2015/10/9 1:31,6
27,暨南大学西门,NULL,NULL,NULL,2015/10/10 1:31,2015/10/10 1:31,1
28,大学城广大KFC,NULL,NULL,NULL,2015/10/11 1:31,2015/10/11 1:31,1
29,龙洞广工门口,NULL,NULL,NULL,2015/10/12 1:31,2015/10/12 1:31,1
30,岭南学院,NULL,NULL,NULL,2015/10/13 1:31,2015/10/13 1:31,1
31,私立华联学院东门,NULL,NULL,NULL,2015/10/14 1:31,2015/10/14 1:31,4
32,北师,NULL,NULL,NULL,2015/10/15 1:31,2015/10/15 1:31,4
33,北理,NULL,NULL,NULL,2015/10/16 1:31,2015/10/16 1:31,4
34,中大,NULL,NULL,NULL,2015/10/17 1:31,2015/10/17 1:31,4
35,香洲梅华东,NULL,NULL,NULL,2015/10/18 1:31,2015/10/18 1:31,4
36,拱北华侨宾馆,NULL,NULL,NULL,2015/10/19 1:31,2015/10/19 1:31,4
37,湖心路口,NULL,NULL,NULL,2015/10/20 1:31,2015/10/20 1:31,4
38,科干,NULL,NULL,NULL,2015/10/21 1:31,2015/10/21 1:31,4
39,吉林大学,NULL,NULL,NULL,2015/10/22 1:31,2015/10/22 1:31,4
40,城南收费站,NULL,NULL,NULL,2015/10/22 1:31,2015/10/22 1:31,2
41,广晟百货,NULL,NULL,NULL,2015/10/22 1:31,2015/10/22 1:31,2
42,河职院东门,NULL,NULL,NULL,2015/10/22 1:31,2015/10/22 1:31,2
43,潮州（韩师、潮师）天河客运,NULL,NULL,NULL,2015/10/22 1:31,2015/10/22 1:31,9
44,博罗,NULL,NULL,NULL,2015/10/23 1:31,2015/10/23 1:31,10
45,江北,NULL,NULL,NULL,2015/10/24 1:31,2015/10/24 1:31,10
46,惠大,NULL,NULL,NULL,2015/10/25 1:31,2015/10/25 1:31,10
47,人人乐,NULL,NULL,NULL,2015/10/25 1:31,2015/10/25 1:31,10
48,经济学院,NULL,NULL,NULL,2015/10/25 1:31,2015/10/25 1:31,10
49,五邑大学,NULL,NULL,NULL,2015/10/26 1:31,2015/10/26 1:31,11
50,江门职院,NULL,NULL,NULL,2015/10/27 1:31,2015/10/27 1:31,11
51,义乌,NULL,NULL,NULL,2015/10/27 1:31,2015/10/27 1:31,7
52,侨丰宾馆,NULL,NULL,NULL,2015/10/27 1:31,2015/10/27 1:31,7
53,小市桥南,NULL,NULL,NULL,2015/10/27 1:31,2015/10/27 1:31,7
