id,createdAt,updatedAt,buslineId,starttimeId
1,2015/10/9 1:31,2015/10/9 1:31,1,19
2,2015/10/9 1:31,2015/10/9 1:31,1,25
3,2015/10/9 1:31,2015/10/9 1:31,1,30
4,2015/10/9 1:31,2015/10/9 1:31,1,34
5,2015/10/9 1:31,2015/10/9 1:31,2,19
6,2015/10/9 1:31,2015/10/9 1:31,2,15
7,2015/10/9 1:31,2015/10/9 1:31,2,21
8,2015/10/9 1:31,2015/10/9 1:31,2,30
9,2015/10/9 1:31,2015/10/9 1:31,3,19
10,2015/10/9 1:31,2015/10/9 1:31,3,15
11,2015/10/9 1:31,2015/10/9 1:31,3,21
12,2015/10/9 1:31,2015/10/9 1:31,3,30
13,2015/10/9 1:31,2015/10/9 1:31,3,35
